OLD URL,Action,NEW URL,Family,Template,Entry visits,GSC clicks,GSC impressions,Backlinks,Indexed?,Assets,QA status,Notes
/french-for-pump-up.html,KEEP,/french-for-pump-up.html,X-for-word lessons,TEMPLATED-ish,117,,,,,6,,
/french-for-put-up.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,1,,no entry traffic in 6yr; missing title; no canonical; TrafficWave
/french-for-raise.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-read.html,KEEP,/french-for-read.html,X-for-word lessons,TEMPLATED-ish,38,,,,,6,,
/french-for-reap.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-revive.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-rot.html,KEEP,/french-for-rot.html,X-for-word lessons,TEMPLATED-ish,27,,,,,7,,
/french-for-sausage.html,KEEP,/french-for-sausage.html,X-for-word lessons,TEMPLATED-ish,6314,,,,,12,,
/french-for-save-up.html,KEEP,/french-for-save-up.html,X-for-word lessons,TEMPLATED-ish,158,,,,,6,,
/french-for-search.html,KEEP,/french-for-search.html,X-for-word lessons,TEMPLATED-ish,200,,,,,7,,
/french-for-seize.html,KEEP,/french-for-seize.html,X-for-word lessons,TEMPLATED-ish,698,,,,,6,,
/french-for-sell-off.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-set-up.html,KEEP,/french-for-set-up.html,X-for-word lessons,TEMPLATED-ish,41,,,,,7,,
/french-for-shiver.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,7,,no entry traffic in 6yr
/french-for-shorten.html,KEEP,/french-for-shorten.html,X-for-word lessons,TEMPLATED-ish,514,,,,,6,,
/french-for-show.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,1,,no entry traffic in 6yr; h1_count=0; TrafficWave
/french-for-shut-up.html,KEEP,/french-for-shut-up.html,X-for-word lessons,TEMPLATED-ish,318,,,,,6,,
