path,family,type,entry_visits_total,pageviews_total,months_seen,entry_visits_avg,first_month,last_month,trend
/privacy-statement.html,OTHER / bespoke,bespoke,4486,13377,71,69.0,2020-09,2026-09,+18%
/spanish-verb-describir.html,verb-conjugation (lang-verb-X),TEMPLATED,4484,7672,68,66.9,2020-09,2026-06,-44%
/french-verb-souffrir.html,verb-conjugation (lang-verb-X),TEMPLATED,4484,7118,71,63.2,2020-09,2026-09,-9%
/third-ear.html,OTHER / bespoke,bespoke,4416,7374,72,62.2,2020-09,2026-09,-18%
/daily-french-lesson-code.html,lesson (other),bespoke,4404,9831,73,65.7,2020-09,2026-09,+217%
/spanish-churros.html,OTHER / bespoke,bespoke,4401,5259,50,100.0,2020-09,2026-09,+49%
/spanish-verb-calentar.html,verb-conjugation (lang-verb-X),TEMPLATED,4353,6709,71,62.2,2020-09,2026-07,+25%
/15Feb-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4350,6987,73,60.4,2020-09,2026-09,+17%
/spanish-verb-recoger.html,verb-conjugation (lang-verb-X),TEMPLATED,4323,7345,65,67.5,2020-09,2026-09,-40%
/simulated-immersion.html,OTHER / bespoke,bespoke,4317,8981,73,60.0,2020-09,2026-09,+67%
/spanish-verbs.html,OTHER / bespoke,bespoke,4280,9116,73,58.6,2020-09,2026-09,+105%
/23Dec-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4245,6451,70,62.4,2020-09,2026-09,-17%
/language-learning.html,OTHER / bespoke,bespoke,4216,7732,72,58.6,2020-09,2026-09,+89%
/12Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4212,8072,67,63.8,2020-09,2026-09,-36%
/2Jul-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4200,6404,71,59.2,2020-09,2026-09,+31%
/spanish-verb-cometer.html,verb-conjugation (lang-verb-X),TEMPLATED,4193,7061,70,61.7,2020-09,2026-09,-18%
/spanish-verb-cargar.html,verb-conjugation (lang-verb-X),TEMPLATED,4173,7110,73,57.2,2020-09,2026-09,+35%
/29Jul-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,4172,4557,5,1390.7,2021-07,2026-07,
/language-learning-survey.html,OTHER / bespoke,bespoke,4140,9562,72,98.6,2020-09,2026-09,+397%
/learn-german-verbs.html,course landing,bespoke,4136,6514,68,61.7,2020-09,2026-09,-29%
