primary_legacy_refn,source_kind,source_filename,source_path,target_ext,all_legacy_refns_count,all_legacy_refns
826,jpg,"to ask for ,to order ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to ask for ,to order ,v.jpg",jpg,2,"826,10826"
827,jpg,"to bathe ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to bathe ,v.jpg",jpg,2,"827,10827"
829,jpg,"to meet ,to encounter ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to meet ,to encounter ,v.jpg",jpg,2,"829,10829"
830,jpg,"to hold ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to hold ,v.jpg",jpg,2,"830,10830"
831,jpg,"to be able ,can ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be able ,can ,v.jpg",jpg,2,"831,10831"
832,jpg,"to be afraid ,frightened ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be afraid ,frightened ,v.jpg",jpg,2,"832,10832"
833,jpg,"to be born ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be born ,v.jpg",jpg,2,"833,10833"
834,jpg,"to be called ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be called ,v.jpg",jpg,2,"834,10834"
836,jpg,"to be hot ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be hot ,v.jpg",jpg,2,"836,10836"
837,jpg,"to be hungry ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be hungry ,v.jpg",jpg,2,"837,10837"
838,jpg,"to be in a hurry ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be in a hurry ,v.jpg",jpg,2,"838,10838"
839,jpg,"to be lucky ,v.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to be lucky ,v.jpg",jpg,2,"839,10839"
